8	19131696
16	34812
24	16838
32	30668
40	29787
48	15794
56	12875
64	13808
72	13055
80	12361
88	30525
96	48924
104	13977
112	11936
120	11404
128	12019
136	28317
144	12238
152	11796
160	12119
168	11983
176	27947
184	26900
192	37129
200	31671
208	30174
216	15870
224	12340
232	13605
240	11250
248	12300
256	13948
264	29923
272	34610
280	12825
288	13263
296	10891
304	13112
312	12806
320	12350
328	12081
336	12675
344	12032
352	12091
360	27762
368	27355
376	6034582
384	17526
392	13657
400	12142
408	15176
416	13114
424	34160
432	29531
440	28829
448	42469
456	27754
464	28687
472	26378
480	25526
488	26262
496	25999
504	25745
512	17425
520	13866
528	30927
536	12928
544	13318
552	12495
560	12477
568	26597
576	12705
584	12738
592	12910
600	28836
608	13804
616	9894
624	11405
632	12857
640	8604
648	9686
656	8245
664	12115
672	11862
680	11695
688	11635
696	12918
704	12709
712	29931
720	14058
728	15062
736	13370
744	20886
752	9874
760	11435
768	12337
776	13577
784	30863
792	13876
800	4751784
808	29719
816	18337
824	16403
832	13389
840	11431
848	12953
856	10915
864	11341
872	9915
880	15864
888	29560
896	15693
904	11315
912	29530
920	12829
928	11938
936	13411
944	12916
952	11919
960	19187
968	29810
976	16190
984	13938
992	12579
1000	11785
1008	12264
1016	11528
1024	11204
1032	1640
1040	1847
1048	2319
1056	1729
1064	2178
1072	1726
1080	5936
1088	2008
1096	5130
1104	2594
1112	2136
1120	4084
1128	2292
1136	1913
1144	2138
1152	2317
1160	3824
1168	4606
1176	5444
1184	4584
1192	2723
1200	2231
1208	4769
1216	2495
1224	4120
1232	2482
1240	1852
1248	1655
1256	2239
1264	1844
1272	1733
1280	1982
1288	1622
1296	1865
1304	1690
1312	1899
1320	1959
1328	1856
1336	1788
1344	1677
1352	1978
1360	2009
1368	1939
1376	4327
1384	2142
1392	2587
1400	1971
1408	10621
1416	4674
1424	2471
1432	2128
1440	2269
1448	4626
1456	2653
1464	2134
1472	3160
1480	1864
1488	5073
1496	2765
1504	4903
1512	2549
1520	2084
1528	1622
1536	1915
1544	1666
1552	1607
1560	1677
1568	1869
1576	1931
1584	1746
1592	10436
1600	2138
1608	1782
1616	4286
1624	2383
1632	1624
1640	1756
1648	2007
1656	2001
1664	1713
1672	1983
1680	1659
1688	1930
1696	2354
1704	2141
1712	1719
